Country,% of GDP,Talent,Infrastructure,Operating Environment,Research,Development,Government Strategy,Commercial,Total score,Region,Cluster,Income group,Political regime
Israel,6.345883364,35.76,67.58,82.44,32.63,27.96,43.91,27.33,39.89,Middle East,Rising stars,High,Liberal democracy
South Korea,4.958960136,14.54,85.23,68.86,26.66,77.25,87.5,5.41,38.6,Asia-Pacific,Rising stars,High,Liberal democracy
Sweden,3.640187414,28.21,75.19,66.77,27.61,17.81,40.35,4.51,29.85,Europe,Waking up,High,Liberal democracy
United States of America,3.447162913,100.0,94.02,64.56,100.0,100.0,77.39,100.0,100.0,Americas,Power players,High,Liberal democracy
Japan,3.44124934,15.18,84.58,57.53,22.51,34.47,71.96,7.31,30.53,Asia-Pacific,Rising stars,High,Liberal democracy
Belgium,3.272348976,15.17,65.1,64.08,22.15,19.81,63.58,5.31,25.52,Europe,Waking up,High,Liberal democracy
Austria,3.255169758,16.97,64.49,76.3,23.56,17.81,72.14,3.08,26.89,Europe,Waking up,High,Electoral democracy
Switzerland,3.221780585,25.63,78.43,44.14,38.24,23.11,12.18,7.76,30.25,Europe,Rising stars,High,Liberal democracy
Germany,3.128664165,27.63,77.22,70.22,35.84,24.79,84.65,8.29,36.04,Europe,Traditional champions,High,Liberal democracy
Finland,3.093055108,24.99,71.6,78.76,25.21,18.32,85.99,4.64,31.36,Europe,Rising stars,High,Liberal democracy
Denmark,3.066791239,27.07,74.08,85.39,26.01,8.92,74.23,3.46,30.87,Europe,Rising stars,High,Liberal democracy
United Kingdom,2.676140138,39.65,71.43,74.65,36.5,25.03,82.82,18.91,40.93,Europe,Traditional champions,High,Liberal democracy
Iceland,2.620064567,18.45,72.45,41.19,18.29,0.19,22.15,5.74,19.81,Europe,Waking up,High,Liberal democracy
The Netherlands,2.304896142,33.83,81.99,88.05,25.54,30.17,62.35,4.97,36.35,Europe,Rising stars,High,Liberal democracy
France,2.175165889,28.32,77.15,80.02,25.48,21.44,91.2,7.65,34.42,Europe,Traditional champions,High,Liberal democracy
Slovenia,2.130563275,13.02,72.06,94.55,19.1,1.06,80.38,0.61,25.19,Europe,Waking up,High,Electoral democracy
Norway,1.851424201,27.61,76.2,36.65,21.18,13.56,59.05,3.95,25.77,Europe,Waking up,High,Liberal democracy
Estonia,1.830835816,18.74,63.65,88.67,11.75,9.31,72.08,12.51,26.6,Europe,Waking up,High,Liberal democracy
Czech Republic,1.823841885,11.11,64.26,76.97,11.26,2.7,70.29,1.75,20.31,Europe,Waking up,High,Electoral democracy
Canada,1.810478525,31.28,77.05,93.94,30.67,25.78,100.0,14.88,40.19,Americas,Traditional champions,High,Liberal democracy
Portugal,1.694904984,13.43,64.2,80.66,8.96,3.92,70.69,2.05,20.89,Europe,Waking up,High,Electoral democracy
Poland,1.555246812,14.21,70.96,99.56,10.6,9.09,78.14,2.25,25.2,Europe,Waking up,High,Electoral democracy
New Zealand,1.54848304,23.3,69.78,90.35,12.23,5.96,47.62,2.49,24.88,Asia-Pacific,Waking up,High,Liberal democracy
Ireland,1.54356584,29.93,89.5,70.15,16.79,30.85,69.44,3.94,33.04,Europe,Rising stars,High,Liberal democracy
Greece,1.494300744,7.62,55.44,83.58,15.12,2.21,22.15,0.92,17.33,Europe,Waking up,High,Liberal democracy
Spain,1.493612465,17.61,73.32,75.36,18.6,10.87,91.28,3.08,26.95,Europe,Rising stars,High,Liberal democracy
Turkey,1.422234012,8.49,40.74,64.34,9.53,1.02,67.45,0.95,14.39,Europe,Waking up,High,Electoral democracy
Hungary,1.377476652,10.34,69.17,58.01,4.31,5.4,55.01,1.08,17.0,Europe,Waking up,High,Electoral autocracy
Italy,1.372135658,11.09,64.76,83.25,20.3,14.66,61.43,2.64,24.45,Europe,Waking up,High,Liberal democracy
Luxembourg,1.055806659,21.66,94.88,66.96,19.39,19.95,66.69,4.68,30.73,Europe,Waking up,High,Liberal democracy
Lithuania,1.049769807,14.3,63.19,80.67,3.22,6.18,64.28,1.77,19.59,Europe,Waking up,High,Electoral democracy
Slovakia,1.033585436,8.55,65.36,88.71,2.97,0.34,43.07,0.67,17.24,Europe,Waking up,High,Electoral democracy
