"Gross domestic spending on R&amp;D"
"% of GDP, 2023"
"Category","% of GDP"
"Israel",6.345883364
"Korea",4.958960136
"Sweden",3.640187414
"United States",3.447162913
"Japan",3.44124934
"Belgium",3.272348976
"Austria",3.255169758
"Switzerland",3.221780585
"Germany",3.128664165
"Finland",3.093055108
"Denmark",3.066791239
"United Kingdom",2.676140138
"Iceland",2.620064567
"Netherlands",2.304896142
"France",2.175165889
"Slovenia",2.130563275
"Norway",1.851424201
"Estonia",1.830835816
"Czechia",1.823841885
"Canada",1.810478525
"Portugal",1.694904984
"Poland",1.555246812
"New Zealand",1.54848304
"Ireland",1.54356584
"Greece",1.494300744
"Spain",1.493612465
"Türkiye",1.422234012
"Hungary",1.377476652
"Italy",1.372135658
"Luxembourg",1.055806659
"Lithuania",1.049769807
"Slovak Rep.",1.033585436
"Latvia",0.823600191
